id,Database
41205,Neisseria
41206,Neisseria
41207,Neisseria
41208,Neisseria
41209,Neisseria
41210,Neisseria
42789,Neisseria
42790,Neisseria
42791,Neisseria
42792,Neisseria
42793,Neisseria
42794,Neisseria
42795,Neisseria
42796,Neisseria
42797,Neisseria
42798,Neisseria
42799,Neisseria
42800,Neisseria
42801,Neisseria
42802,Neisseria
42803,Neisseria
42804,Neisseria
42805,Neisseria
42806,Neisseria
42807,Neisseria
42808,Neisseria
42809,Neisseria
42810,Neisseria
42811,Neisseria
42813,Neisseria
42814,Neisseria
42815,Neisseria
42816,Neisseria
42817,Neisseria
42818,Neisseria
42819,Neisseria
42820,Neisseria
42821,Neisseria
42822,Neisseria
42823,Neisseria
42824,Neisseria
42825,Neisseria
42826,Neisseria
42827,Neisseria
42828,Neisseria
